MLS Number,Address,City,List Price,List Date,DOM,Status,Property Type,Building SqFt,# of Bedrooms,Full Baths,Subdivision
A250049,449 Beach Rd,Port Aransas,612000,2024-02-23,186,Active,Detached,1858,3,3,Port Aransas
A250050,450 Beach Rd,Port Aransas,950000,2024-03-24,195,Active,Detached,1880,4,4,Port Aransas
A250051,451 Beach Rd,Port Aransas,716000,2024-04-25,204,Active,Condo,1902,5,2,Port Aransas
A250052,452 Beach Rd,Port Aransas,768000,2024-05-26,213,Active,Detached,1924,2,3,Port Aransas
A250053,453 Beach Rd,Port Aransas,820000,2024-06-27,222,Active,Detached,1946,3,4,Port Aransas
A250054,454 Beach Rd,Port Aransas,812000,2024-07-01,231,Active,Condo,1968,4,2,Port Aransas
A250055,455 Beach Rd,Port Aransas,1650000,2024-08-02,240,Active,Detached,1990,5,3,Port Aransas
A250056,456 Beach Rd,Port Aransas,916000,2024-09-03,249,Active,Detached,2012,2,4,Port Aransas
A250057,457 Beach Rd,Port Aransas,968000,2024-10-04,258,Active,Condo,2034,3,2,Port Aransas
A250058,458 Beach Rd,Port Aransas,1020000,2024-11-05,267,Active,Detached,2056,4,3,Port Aransas
A250059,459 Beach Rd,Port Aransas,1072000,2024-12-06,276,Active,Detached,2078,5,4,Port Aransas
A250060,460 Beach Rd,Port Aransas,950000,2024-01-07,285,Active,Condo,2100,2,2,Port Aransas
A250061,461 Beach Rd,Port Aransas,1116000,2024-02-08,294,Active,Detached,2122,3,3,Port Aransas
A250062,462 Beach Rd,Port Aransas,1168000,2024-03-09,303,Active,Detached,2144,4,4,Port Aransas
A250063,463 Beach Rd,Port Aransas,1220000,2024-04-10,32,Active,Condo,2166,5,2,Port Aransas
A250064,464 Beach Rd,Port Aransas,1272000,2024-05-11,41,Active,Detached,2188,2,3,Port Aransas
A250065,465 Beach Rd,Port Aransas,1650000,2024-06-12,50,Active,Detached,2210,3,4,Port Aransas
A250066,466 Beach Rd,Port Aransas,1316000,2024-07-13,59,Active,Condo,2232,4,2,Port Aransas
A250067,467 Beach Rd,Port Aransas,1368000,2024-08-14,68,Active,Detached,2254,5,3,Port Aransas
A250068,468 Beach Rd,Port Aransas,1420000,2024-09-15,77,Active,Detached,2276,2,4,Port Aransas
A250069,469 Beach Rd,Port Aransas,1472000,2024-10-16,86,Active,Condo,2298,3,2,Port Aransas
A250070,470 Beach Rd,Port Aransas,950000,2024-11-17,95,Active,Detached,2320,4,3,Port Aransas
A250071,471 Beach Rd,Port Aransas,1576000,2024-12-18,104,Active,Detached,2342,5,4,Port Aransas
A250072,472 Beach Rd,Port Aransas,1568000,2024-01-19,113,Active,Condo,2364,2,2,Port Aransas
A250073,473 Beach Rd,Port Aransas,1620000,2024-02-20,122,Active,Detached,2386,3,3,Port Aransas
A250074,474 Beach Rd,Port Aransas,1672000,2024-03-21,131,Active,Detached,2408,4,4,Port Aransas
A250075,475 Beach Rd,Port Aransas,1650000,2024-04-22,140,Active,Condo,2430,5,2,Port Aransas
A250076,476 Beach Rd,Port Aransas,180000,2024-05-23,149,Active,Detached,2452,2,3,Port Aransas
A250077,477 Beach Rd,Port Aransas,232000,2024-06-24,158,Active,Detached,2474,3,4,Port Aransas
A250078,478 Beach Rd,Port Aransas,224000,2024-07-25,167,Active,Condo,2496,4,2,Port Aransas
A250079,479 Beach Rd,Port Aransas,276000,2024-08-26,176,Active,Detached,2518,5,3,Port Aransas
A250080,480 Beach Rd,Port Aransas,950000,2024-09-27,185,Active,Detached,2540,2,4,Port Aransas
A250081,481 Beach Rd,Port Aransas,380000,2024-10-01,194,Active,Condo,2562,3,2,Port Aransas
A250082,482 Beach Rd,Port Aransas,432000,2024-11-02,203,Active,Detached,2584,4,3,Port Aransas
A250083,483 Beach Rd,Port Aransas,484000,2024-12-03,212,Active,Detached,2606,5,4,Port Aransas
A250084,484 Beach Rd,Port Aransas,476000,2024-01-04,221,Active,Condo,2628,2,2,Port Aransas
A250085,485 Beach Rd,Port Aransas,1650000,2024-02-05,230,Active,Detached,2650,3,3,Port Aransas
A250086,486 Beach Rd,Port Aransas,580000,2024-03-06,239,Active,Detached,2672,4,4,Port Aransas
A250087,487 Beach Rd,Port Aransas,632000,2024-04-07,248,Active,Condo,2694,5,2,Port Aransas
A250088,488 Beach Rd,Port Aransas,684000,2024-05-08,257,Active,Detached,2716,2,3,Port Aransas
A250089,489 Beach Rd,Port Aransas,736000,2024-06-09,266,Active,Detached,2738,3,4,Port Aransas
A250090,490 Beach Rd,Port Aransas,950000,2024-07-10,275,Active,Condo,2760,4,2,Port Aransas
A250091,491 Beach Rd,Port Aransas,780000,2024-08-11,284,Active,Detached,2782,5,3,Port Aransas
A250092,492 Beach Rd,Port Aransas,832000,2024-09-12,293,Active,Detached,2804,2,4,Port Aransas
A250093,493 Beach Rd,Port Aransas,884000,2024-10-13,302,Active,Condo,2826,3,2,Port Aransas
A250094,494 Beach Rd,Port Aransas,936000,2024-11-14,31,Active,Detached,2848,4,3,Port Aransas
A250095,495 Beach Rd,Port Aransas,1650000,2024-12-15,40,Active,Detached,2870,5,4,Port Aransas
